feature,saliency
HGT@surface,1.6629556e-06
TMP@1000mb,3.9461722e-07
RH@2m_above_ground,3.2407053e-07
UGRD@10m_above_ground,2.639725e-07
VGRD@250mb,2.6062645e-07
MCDC@middle_cloud_layer,2.5214158e-07
APCP_1hr_acc_fcst@surface,2.2417775e-07
TMP@850mb,2.1320531e-07
UGRD@500mb,2.1219975e-07
DPT@850mb,2.0750103e-07
UGRD@1000mb,2.0689258e-07
LCDC@low_cloud_layer,2.0082045e-07
VIL@entire_atmosphere,1.8948488e-07
VGRD@850mb,1.891665e-07
DPT@500mb,1.8693939e-07
VGRD@925mb,1.8393844e-07
UGRD@250mb,1.8072798e-07
UGRD@850mb,1.6857913e-07
VGRD@500mb,1.6459738e-07
UGRD@700mb,1.5947886e-07
GUST@surface,1.5922242e-07
TMP@500mb,1.5214152e-07
TMP@2m_above_ground,1.5207712e-07
DPT@1000mb,1.505389e-07
TCDC@entire_atmosphere,1.4784018e-07
VGRD@1000mb,1.4159833e-07
HGT@1000mb,1.396398e-07
VGRD@700mb,1.3651169e-07
TMP@925mb,1.3418152e-07
UGRD@925mb,1.3083836e-07
VGRD@10m_above_ground,1.2493955e-07
DPT@925mb,1.2298392e-07
HGT@700mb,1.1482126e-07
HCDC@high_cloud_layer,1.118145e-07
RHPW@entire_atmosphere,1.0981219e-07
CAPE@surface,1.048884e-07
HGT@850mb,1.0186014e-07
DPT@700mb,9.109666e-08
TMP@700mb,8.9162064e-08
PWAT@entire_atmosphere_single_layer,7.8072674e-08
DSWRF@surface,6.85934e-08
HGT@500mb,5.8668377e-08
