feature,saliency
HGT@surface,9.788287e-07
TMP@1000mb,3.8839815e-07
UGRD@850mb,2.763843e-07
UGRD@10m_above_ground,2.7168593e-07
UGRD@250mb,2.2103187e-07
VIL@entire_atmosphere,2.0554627e-07
MCDC@middle_cloud_layer,1.9643193e-07
UGRD@925mb,1.9322803e-07
UGRD@500mb,1.7876991e-07
VGRD@250mb,1.6828173e-07
VGRD@500mb,1.6182615e-07
VGRD@925mb,1.6038771e-07
GUST@surface,1.5497329e-07
HCDC@high_cloud_layer,1.5485794e-07
RH@2m_above_ground,1.5484554e-07
DPT@500mb,1.4749878e-07
TMP@500mb,1.4718167e-07
VGRD@850mb,1.4678601e-07
HGT@1000mb,1.4511208e-07
TMP@850mb,1.4199824e-07
UGRD@700mb,1.4066838e-07
UGRD@1000mb,1.4041326e-07
TMP@2m_above_ground,1.3745755e-07
LCDC@low_cloud_layer,1.370963e-07
APCP_1hr_acc_fcst@surface,1.337812e-07
TCDC@entire_atmosphere,1.3204611e-07
VGRD@700mb,1.3013839e-07
DPT@850mb,1.2817178e-07
HGT@850mb,1.2646471e-07
PWAT@entire_atmosphere_single_layer,1.2166744e-07
TMP@925mb,1.1238157e-07
HGT@700mb,1.06333374e-07
VGRD@1000mb,9.9796424e-08
VGRD@10m_above_ground,9.775341e-08
CAPE@surface,9.606834e-08
DPT@700mb,9.182354e-08
RHPW@entire_atmosphere,8.485916e-08
DPT@1000mb,7.8791125e-08
DPT@925mb,7.0217666e-08
TMP@700mb,7.015088e-08
DSWRF@surface,5.886542e-08
HGT@500mb,3.9342744e-08
